,Open,High,Low,Close,Adj Close,Volume,SMA_20,SMA_50,EMA_12,EMA_26,MACD,Signal_Line,RSI,BB_Middle,BB_Upper,BB_Lower,Volume_SMA
2018-01-01,10099.342830602247,10122.62430280816,10059.492845127255,10099.342830602247,10099.342830602247,7729806,,,10099.342830602247,10099.342830602247,0.0,0.0,,,,,
2018-01-02,10071.415259027019,10190.230283676448,10028.535644093976,10071.415259027019,10071.415259027019,9938770,,,10084.215395998997,10084.841976130492,-0.6265801314948476,-0.3481000730526931,,,,,
2018-01-03,10201.878063541502,10221.680687363392,10155.9190391202,10201.878063541502,10201.878063541502,3752447,,,10130.139162314663,10126.891906008574,3.2472563060891844,1.1254066397103712,,,,,
2018-01-04,10512.633361185657,10568.477972339964,10485.115671842206,10512.633361185657,10512.633361185657,5719893,,,10250.877632849084,10234.728360136663,16.149272712420498,6.214792165696186,,,,,
2018-01-05,10463.401989610642,10514.031948758311,10405.23160069806,10463.401989610642,10463.401989610642,2368737,,,10308.61974102411,10287.758717998686,20.861023025423492,10.571714720350906,,,,,
2018-01-06,10414.404607586974,10529.201772028608,10216.015984596517,10414.404607586974,10414.404607586974,5478903,,,10334.331028920033,10313.12487959184,21.206149328192623,13.454237762202355,,,,,
2018-01-07,10743.335832030585,10816.536572460951,10696.723348816671,10743.335832030585,10743.335832030585,2551870,,,10425.59901973554,10389.635667328612,35.96335240692861,19.15069419024608,,,,,
2018-01-08,10908.232012519647,10952.803845663866,10720.375338835294,10908.232012519647,10908.232012519647,4335160,,,10526.317086456038,10473.194388488067,53.12269796797045,27.314805541705887,,,,,
2018-01-09,10805.809302005375,10839.070498412062,10722.921455557072,10805.809302005375,10805.809302005375,5186321,,,10581.610594650883,10522.495220545585,59.11537410529854,34.66089464332996,,,,,
2018-01-10,10923.065309322927,11014.664583762024,10857.107657725042,10923.065309322927,10923.065309322927,9289681,,,10646.316130376772,10577.769994173206,68.54613620356577,42.25315578839586,,,,,
2018-01-11,10821.8264748412,10917.781545636237,10773.348876119768,10821.8264748412,10821.8264748412,6275615,,,10678.430291560455,10609.42419703305,69.00609452740537,48.10654591990935,,,,,
2018-01-12,10721.025543295043,10778.363446534659,10590.785867164906,10721.025543295043,10721.025543295043,8150669,,,10686.003587484634,10623.136180858079,62.86740662655575,51.276559753101466,,,,,
2018-01-13,10772.907217174507,10905.304146424816,10535.011178056735,10772.907217174507,10772.907217174507,7155343,,,10701.093359022761,10640.681830747813,60.41152827494807,53.20983646890766,,,,,
2018-01-14,10360.675406051478,10426.70479305875,10336.785097769942,10360.675406051478,10360.675406051478,2680913,,,10643.131050566992,10609.23377696333,33.89727360366123,49.16963390809084,56.71104362178784,,,,
2018-01-15,10003.249130755928,10049.102694694444,9989.65877409743,10003.249130755928,10003.249130755928,5609231,,,10535.939874602453,10543.681082097937,-7.741207495484559,37.37238689898347,47.915049585161896,,,,
2018-01-16,9890.755085993635,10097.17781698208,9885.561938256744,9890.755085993635,9890.755085993635,9522886,,,10429.318001289963,10475.379659246402,-46.061657956439376,20.202282452993447,46.21895844851801,,,,
2018-01-17,9690.401794899628,9747.053601964533,9676.362480132204,9690.401794899628,9690.401794899628,1281097,,,10308.584055436055,10395.69755090621,-87.11349547015561,-1.7553142533597799,39.59956230498775,,,,
2018-01-18,9751.3054532161,9754.33410463085,9747.108406429756,9751.3054532161,9751.3054532161,6605956,,,10218.38957279739,10332.032747750609,-113.64317495321848,-24.543400052179727,32.768099372452426,,,,
2018-01-19,9574.21705083047,9661.312115647721,9476.287988258291,9574.21705083047,9574.21705083047,7550402,,,10114.959119257082,10258.96834905635,-144.0092297992669,-48.78593779015154,30.975300500971827,,,,
2018-01-20,9303.783007264963,9390.91352822459,9286.064307380497,9303.783007264963,9303.783007264963,3176082,10301.683236587776,,9985.583056832342,10168.887111188804,-183.30405435646207,-76.00335657761319,28.294258905948183,10301.683236587776,11277.38258995503,9325.983883220522,5717989.1
2018-01-21,9576.504569483186,9640.454509222503,9521.527525255817,9576.504569483186,9576.504569483186,7478444,10275.541323531823,,9920.704620534683,10114.1288869389,-193.42426640421763,-99.70615830154975,26.683421662159702,10275.541323531823,11300.824165198943,9250.258481864703,5705421.0
2018-01-22,9533.26161401738,9561.117111225867,9506.461186079323,9533.26161401738,9533.26161401738,4408939,10248.633641281342,,9859.548014862752,10061.40331267324,-201.85529781048717,-120.28785230005478,21.120088379748523,10248.633641281342,11323.519637723024,9173.74764483966,5428929.45
2018-01-23,9546.136894849678,9564.019579390528,9490.83166006742,9546.136894849678,9546.136894849678,5537229,10215.846582846749,,9810.274222052365,10015.400437027756,-205.12621497539112,-137.35627904308026,22.507626045692817,10215.846582846749,11335.796799886677,9095.89636580682,5518168.55
2018-01-24,9274.120070324028,9481.696322354082,9143.16700218268,9274.120070324028,9274.120070324028,5952034,10153.92091830367,,9726.264517014748,9950.210346096042,-223.9458290812945,-154.75635860323726,16.289022088237218,10153.92091830367,11339.797542319253,8968.044294288085,5529775.6
2018-01-25,9173.146655294895,9367.681590415172,9115.526108894854,9173.146655294895,9173.146655294895,3458547,10089.40815158788,,9639.842501735051,9882.808144429498,-242.96564269444752,-172.46511721999534,16.290790038362147,10089.40815158788,11342.853313420947,8835.962989754815,5584266.1
2018-01-26,9193.496838950769,9249.288969893762,9184.401364367613,9193.496838950769,9193.496838950769,9306135,10028.36276315607,,9570.270038969102,9823.765358996705,-253.49532002760316,-188.72028601466207,17.705434399130468,10028.36276315607,11333.038263840257,8723.687262471884,5775627.7
2018-01-27,8981.863722637077,9022.972508073199,8951.472918306989,8981.863722637077,8981.863722637077,9640050,9940.289157686395,,9478.739761450028,9752.478042479,-273.7382810289728,-205.7650968413218,14.530208187330445,9940.289157686395,11279.116674810324,8601.461640562466,6130036.7
2018-01-28,9049.35309066999,9297.984505071454,8959.531202140764,9049.35309066999,9049.35309066999,4420690,9847.345211593913,,9412.060011484447,9693.565998505137,-281.50598702068964,-220.94263250077427,19.923833513831994,9847.345211593913,11161.099413219496,8533.59100996833,6134313.2
2018-01-29,8940.645258970137,8985.324361271882,8938.819832477699,8940.645258970137,8940.645258970137,2320055,9754.087009442152,,9338.959288169794,9631.088541398638,-292.1292532288444,-235.20202198285781,22.489704156747578,9754.087009442152,11045.98667411228,8462.187344772023,5990999.9
2018-01-30,8888.486652146927,8935.262122630687,8758.210426973068,8888.486652146927,8888.486652146927,1317152,9652.35807658335,,9269.191143703756,9570.011300796074,-300.82015709231746,-248.34191540492887,23.214965231778564,9652.35807658335,10875.258057803652,8429.458095363048,5592373.45
2018-01-31,8781.521428320735,8903.43860781158,8626.171896820088,8781.521428320735,8781.521428320735,5892812,9550.342824257328,,9193.739830841285,9505.685651500158,-311.94582065887334,-261.0753069959469,24.43461472781169,9550.342824257328,10700.730276481607,8399.95537203305,5573233.3
2018-02-01,9106.83783969026,9141.90115173039,9073.438839040624,9106.83783969026,9106.83783969026,8596477,9469.633439077088,,9180.306236107153,9473.389757521894,-293.08352141474097,-267.4820258052958,34.219489134310734,9469.633439077088,10493.766158084833,8445.500720069344,5595523.7
2018-02-02,9104.379498950777,9139.248269560769,9069.430085699407,9104.379498950777,9104.379498950777,1073916,9386.207053165901,,9168.577877389082,9443.714624809145,-275.13674742006333,-269.0139410949175,37.41962482009022,9386.207053165901,10216.896790287106,8555.517316044696,5291452.35
2018-02-03,8911.78346500273,8924.37199545618,8893.756673083404,8911.78346500273,8911.78346500273,9814749,9313.762456113463,,9128.935702026982,9401.207360545037,-272.2716585180551,-269.6658151189442,39.047264231653955,9313.762456113463,10031.689386032798,8595.835526194129,5648144.15
2018-02-04,9058.390307940797,9251.385335451889,9056.769311077865,9058.390307940797,9058.390307940797,7070517,9266.519514972708,,9118.051120431708,9373.971414007525,-255.9202935758167,-266.9155951885761,34.42595765316601,9266.519514972708,9914.337839755592,8618.701190189824,5721208.45
2018-02-05,8837.212742212627,8905.100848247403,8750.92619269714,8837.212742212627,8837.212742212627,5598615,9213.84239778366,,9074.739343879874,9331.555215949867,-256.81587206999393,-264.8949948425579,31.099239552512884,9213.84239778366,9817.787750425552,8609.897045141766,5524994.9
2018-02-06,8874.128182675835,8893.24274467103,8870.112257911345,8874.128182675835,8874.128182675835,1609003,9173.028717172469,,9043.812119796841,9295.586033070773,-251.7739132739316,-262.2700970664088,31.987207911376984,9173.028717172469,9751.146207709946,8594.911226634991,5541390.2
2018-02-07,8526.320905174447,8569.657520453467,8421.182730822988,8526.320905174447,8526.320905174447,3333728,9111.779489770386,,8964.058506191705,9235.370426127907,-271.3119199362027,-264.07883730101713,30.738299835945085,9111.779489770386,9691.49663670061,8532.062342840161,5377778.8
2018-02-08,8299.830095680773,8625.70115446754,8184.381753288772,8299.830095680773,8299.830095680773,9445288,9048.0601420129,,8861.717964462374,9162.445811261592,-300.72784679921824,-271.4098572752808,28.87143884361332,9048.0601420129,9690.51465807223,8405.60562595357,5472523.1
